City,Sales,Profit,Quantity,Orders,Customers,Avg_Discount,Profit Margin
Aberdeen,25.5,6.63,3,1,1,0.0,26.0
Abilene,1.392,-3.7584,2,1,1,0.8,-270.0
Akron,2729.986,-186.6356,65,10,10,0.35714285714285715,-6.836503923463344
Albuquerque,2220.16,634.0880999999999,65,7,7,0.05714285714285715,28.5604686148746
Alexandria,5519.57,318.61830000000003,84,6,6,0.0,5.772520323141115
Allen,290.206,-39.8775,13,2,2,0.375,-13.7411011488391
Allentown,853.252,-226.4504,20,2,2,0.2714285714285714,-26.53968581380413
Altoona,20.451,-1.1835,9,1,1,0.44999999999999996,-5.7870030805339585
Amarillo,3773.0628,-387.9683,32,7,7,0.27199999999999996,-10.282582627567184
Anaheim,7986.87,1234.0036,112,9,9,0.08148148148148149,15.450402973880884
Andover,435.84999999999997,124.1886,13,1,1,0.0,28.493426637604678
Ann Arbor,889.273,228.9158,23,2,2,0.02,25.74190377982914
Antioch,19.44,9.3312,3,1,1,0.0,48.00000000000001
Apopka,904.554,54.3634,31,3,3,0.41428571428571426,6.009967343022086
Apple Valley,2053.0209999999997,292.589,32,5,5,0.061111111111111116,14.251632107026671
Appleton,1671.31,554.7663,12,2,2,0.0,33.19350090647457
Arlington,20214.532000000003,4169.6969,259,31,31,0.17833333333333332,20.627224513533132
Arlington Heights,14.112,1.2348,6,1,1,0.2,8.75
Arvada,503.4,59.8556,10,1,1,0.2,11.890266189908623
Asheville,1475.376,77.5074,28,6,6,0.2714285714285714,5.253399811302339
Athens,1720.81,479.3221,30,5,5,0.0,27.854446452542696
Atlanta,17197.84,6993.6629,156,17,17,0.0,40.66593769915291
Atlantic City,23.36,11.68,2,1,1,0.0,50.0
Auburn,3155.168,734.9167,80,10,10,0.008333333333333333,23.292474441931457
Aurora,11656.478,-2691.7386,258,35,34,0.35294117647058826,-23.092211901399377
Austin,6057.982,-20.393799999999967,131,18,18,0.3435897435897436,-0.3366434565173678
Avondale,946.808,76.169,30,3,3,0.20000000000000004,8.044820069116442
Bakersfield,1377.29,187.9247,47,8,8,0.096875,13.644526570293838
Baltimore,6156.842000000001,1676.198,184,21,21,0.0069767441860465115,27.22496370704332
Bangor,1164.45,422.2204,29,2,2,0.0,36.25921250375714
Bartlett,88.96,10.008,8,1,1,0.2,11.25
Bayonne,183.4,79.403,9,1,1,0.0,43.29498364231189
Baytown,10.368,3.6288,2,1,1,0.2,35.0
Beaumont,472.11600000000004,59.11639999999999,21,3,3,0.4,12.521583678587463
Bedford,226.25600000000003,10.6202,25,2,2,0.32,4.693886570963864
Belleville,1891.6000000000001,283.6492,32,4,4,0.0,14.99519983083104
Bellevue,103.622,37.0548,18,5,5,0.06666666666666667,35.75958773233483
Bellingham,3790.24,610.5908,24,2,2,0.06666666666666667,16.109555067752964
Bethlehem,1689.6339999999998,-1003.0958,18,2,2,0.38,-59.367638198568464
Beverly,2583.19,654.9194,15,1,1,0.0,25.3531253992157
Billings,8.288,2.6936,2,1,1,0.2,32.5
Bloomington,1567.74,-249.35500000000002,58,10,10,0.19333333333333336,-15.905379718575785
Boca Raton,63.007999999999996,-22.645599999999998,8,2,2,0.36666666666666664,-35.94083291010665
Boise,1094.47,221.9373,9,3,3,0.1,20.278061527497325
Bolingbrook,218.308,-4.660999999999998,23,3,3,0.4000000000000001,-2.1350568920974027
Bossier City,1417.18,336.9608,24,2,2,0.0,23.77685262281432
Bowling Green,2077.375,217.0617,30,6,6,0.25,10.448845297550996
Boynton Beach,469.585,50.661500000000004,28,4,4,0.25,10.788568629747544
Bozeman,43.66,20.8106,5,1,1,0.0,47.66513971598718
Brentwood,5090.114,1216.8104,66,6,6,0.0625,23.90536636311093
Bridgeton,52.410000000000004,3.4415999999999998,6,1,1,0.0,6.566685746994848
Bristol,1251.182,81.6363,31,7,7,0.21538461538461537,6.524734211329767
Broken Arrow,2439.53,575.5226,17,3,3,0.0,23.59153607457174
Broomfield,793.504,62.445,23,2,2,0.4,7.869525547445255
Brownsville,1292.2268000000001,202.072,27,4,4,0.23142857142857146,15.637502642724943
Bryan,616.656,-213.7116,27,2,2,0.6166666666666667,-34.6565345995174
Buffalo,9063.496,992.8791000000001,46,7,7,0.06000000000000001,10.954703350671751
Buffalo Grove,831.399,-89.6478,10,2,2,0.35,-10.78276495401125
Bullhead City,22.288,6.7232,3,1,1,0.2,30.16511127063891
Burbank,3247.1580000000004,764.5337999999999,13,1,1,0.06666666666666667,23.54470586278832
Burlington,21668.082,-3622.8772,105,15,14,0.136,-16.71987949833308
Caldwell,455.63199999999995,58.6966,11,1,1,0.06666666666666667,12.882457772939565
Camarillo,1467.5175,158.79559999999998,16,2,2,0.11000000000000001,10.820695494261566
Cambridge,502.09000000000003,173.7276,19,3,3,0.0,34.600888286960505
Canton,818.13,149.2776,13,2,2,0.0,18.24619559238752
Carlsbad,419.34,157.7661,35,5,5,0.07272727272727274,37.62247817999714
Carol Stream,1305.81,-39.8683,18,1,1,0.24,-3.053147088780144
Carrollton,2200.6459999999997,-470.21389999999997,50,8,8,0.41333333333333333,-21.36708493778645
