City,Sales,Profit,Orders,Profit Margin,Performance
Aberdeen,25.5,6.63,1,26.0,Low Sales - Low Profit
Abilene,1.392,-3.7584,1,-270.0,Low Sales - Low Profit
Akron,2729.986,-186.6356,10,-6.836503923463344,High Sales - Low Profit
Albuquerque,2220.16,634.0880999999999,7,28.5604686148746,High Sales - High Profit
Alexandria,5519.57,318.61830000000003,6,5.772520323141115,High Sales - High Profit
Allen,290.206,-39.8775,2,-13.7411011488391,Low Sales - Low Profit
Allentown,853.252,-226.4504,2,-26.53968581380413,Low Sales - Low Profit
Altoona,20.451,-1.1835,1,-5.7870030805339585,Low Sales - Low Profit
Amarillo,3773.0628,-387.9683,7,-10.282582627567184,High Sales - Low Profit
Anaheim,7986.87,1234.0036,9,15.450402973880884,High Sales - High Profit
Andover,435.84999999999997,124.1886,1,28.493426637604678,Low Sales - High Profit
Ann Arbor,889.273,228.9158,2,25.74190377982914,Low Sales - High Profit
Antioch,19.44,9.3312,1,48.00000000000001,Low Sales - Low Profit
Apopka,904.554,54.3634,3,6.009967343022086,High Sales - Low Profit
Apple Valley,2053.0209999999997,292.589,5,14.251632107026671,High Sales - High Profit
Appleton,1671.31,554.7663,2,33.19350090647457,High Sales - High Profit
Arlington,20214.532000000003,4169.6969,31,20.627224513533132,High Sales - High Profit
Arlington Heights,14.112,1.2348,1,8.75,Low Sales - Low Profit
Arvada,503.4,59.8556,1,11.890266189908623,Low Sales - Low Profit
Asheville,1475.376,77.5074,6,5.253399811302339,High Sales - High Profit
Athens,1720.81,479.3221,5,27.854446452542696,High Sales - High Profit
Atlanta,17197.84,6993.6629,17,40.66593769915291,High Sales - High Profit
Atlantic City,23.36,11.68,1,50.0,Low Sales - Low Profit
Auburn,3155.168,734.9167,10,23.292474441931457,High Sales - High Profit
Aurora,11656.478,-2691.7386,35,-23.092211901399377,High Sales - Low Profit
Austin,6057.982,-20.393799999999967,18,-0.3366434565173678,High Sales - Low Profit
Avondale,946.808,76.169,3,8.044820069116442,High Sales - High Profit
Bakersfield,1377.29,187.9247,8,13.644526570293838,High Sales - High Profit
Baltimore,6156.842000000001,1676.198,21,27.22496370704332,High Sales - High Profit
Bangor,1164.45,422.2204,2,36.25921250375714,High Sales - High Profit
Bartlett,88.96,10.008,1,11.25,Low Sales - Low Profit
Bayonne,183.4,79.403,1,43.29498364231189,Low Sales - High Profit
Baytown,10.368,3.6288,1,35.0,Low Sales - Low Profit
Beaumont,472.11600000000004,59.11639999999999,3,12.521583678587463,Low Sales - Low Profit
Bedford,226.25600000000003,10.6202,2,4.693886570963864,Low Sales - Low Profit
Belleville,1891.6000000000001,283.6492,4,14.99519983083104,High Sales - High Profit
Bellevue,103.622,37.0548,5,35.75958773233483,Low Sales - Low Profit
Bellingham,3790.24,610.5908,2,16.109555067752964,High Sales - High Profit
Bethlehem,1689.6339999999998,-1003.0958,2,-59.367638198568464,High Sales - Low Profit
