Product Name,Sales,Profit,Quantity,Orders,Profit Margin
"""While you Were Out"" Message Book, One Form per Page",25.228,10.388,8,3,41.17647058823529
"#10 Gummed Flap White Envelopes, 100/Box",41.3,16.7678,11,4,40.60000000000001
#10 Self-Seal White Envelopes,108.682,52.123,10,4,47.95918367346938
"#10 White Business Envelopes,4 1/8 x 9 1/2",488.904,223.1408,32,7,45.64102564102564
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",286.672,115.2806,37,10,40.21341463414634
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",146.688,64.86359999999999,21,8,44.21874999999999
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",176.288,63.747,13,2,36.160714285714285
#6 3/4 Gummed Flap White Envelopes,71.28,24.948,9,4,35.0
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,578.6848,14,6,21.384615384615387
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",49.980000000000004,22.7115,7,2,45.44117647058823
12 Colored Short Pencils,18.2,3.016,8,3,16.571428571428573
12-1/2 Diameter Round Wall Clock,551.448,91.1088,36,8,16.521739130434785
14-7/8 x 11 Blue Bar Computer Printout Paper,422.752,172.94400000000002,10,4,40.909090909090914
2300 Heavy-Duty Transfer File Systems by Perma,344.724,20.9832,16,4,6.086956521739131
"24 Capacity Maxi Data Binder Racks, Pearl",3537.24,536.9025,19,4,15.17857142857143
24-Hour Round Wall Clock,487.512,180.0198,27,6,36.92622950819672
3-ring staple pack,42.111999999999995,16.6944,26,6,39.64285714285715
3.6 Cubic Foot Counter Height Office Refrigerator,2946.2,-872.0751999999999,18,5,-29.599999999999998
36X48 HARDFLOOR CHAIRMAT,369.24800000000005,-40.4914,21,6,-10.965909090909088
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.9714000000004,11,2,26.0
