State,Sales,Profit,Quantity,Orders,Customers,Avg_Discount,Profit Margin
Alabama,19510.64,5786.8253,256,34,34,0.0,29.659843552031102
Arizona,35282.001,-3427.9246,862,108,100,0.30357142857142855,-9.715788512108483
Arkansas,11678.13,4008.6871,240,27,27,0.0,34.32644695683299
California,457687.6315,76381.38709999999,7667,1021,577,0.07276361819090454,16.68854079575449
Colorado,32108.118,-6527.8579,693,79,75,0.31648351648351647,-20.33086430042396
Connecticut,13384.357,3511.4918,281,45,43,0.007317073170731707,26.23579003459038
Delaware,27451.069,9977.3748,367,44,43,0.0062499999999999995,36.34603373733824
District of Columbia,2865.02,1059.5892999999999,40,4,4,0.0,36.9836615451201
Florida,89473.708,-3399.3017000000004,1379,200,181,0.2993472584856397,-3.79921853691366
Georgia,49095.84,16250.0433,705,91,83,0.0,33.09861548351144
Idaho,4382.486,826.7231,64,11,11,0.08571428571428572,18.864249651909898
Illinois,80166.101,-12607.887,1845,276,237,0.3900406504065041,-15.72720494414466
Indiana,53555.36,18382.9363,578,73,70,0.0,34.325110129032836
Iowa,4579.76,1183.8119,112,17,17,0.0,25.848775918388732
Kansas,2914.31,836.4435,74,14,14,0.0,28.701253469946575
Kentucky,36591.75,11199.6966,523,61,58,0.0,30.607163090040785
Louisiana,9217.03,2196.1023,156,21,21,0.0,23.82657211704855
Maine,1270.53,454.4862,35,3,3,0.0,35.771386744114665
Maryland,23705.523,7031.1788,420,46,45,0.005714285714285714,29.660509072084167
Massachusetts,28634.434,6785.5016000000005,491,62,62,0.015555555555555557,23.696999214302615
Michigan,76269.614,24463.1876,946,117,106,0.007058823529411765,32.07461834014264
Minnesota,29863.15,10823.1874,331,44,42,0.0,36.24261807612392
Mississippi,10771.34,3172.9762,221,26,25,0.0,29.457580950930897
Missouri,22205.15,6436.2105,252,30,28,0.0,28.985215141532482
Montana,5589.352,1833.3285,56,8,8,0.06666666666666667,32.8003765016052
Nebraska,7464.93,2037.0942000000002,136,23,23,0.0,27.288858703296615
Nevada,16729.102,3316.7659,168,23,23,0.06153846153846155,19.82632361258841
New Hampshire,7292.524,1706.5028,127,17,17,0.011111111111111112,23.40071558214961
New Jersey,35764.312,9772.9138,454,61,61,0.004615384615384615,27.325882292940516
New Mexico,4783.522,1157.1161,151,22,22,0.05945945945945946,24.18962638825535
New York,310876.271,74038.5486,4224,562,415,0.055319148936170216,23.816082315269405
North Carolina,55603.164,-7490.9122,983,136,122,0.2835341365461847,-13.472097019514933
North Dakota,919.91,230.1497,30,2,2,0.0,25.01871922253264
Ohio,78258.136,-16971.3766,1759,236,202,0.3249466950959488,-21.68640535982099
Oklahoma,19683.39,4853.956,247,34,34,0.0,24.66016270571279
Oregon,17431.15,-1190.4705,499,56,51,0.2887096774193548,-6.829558003918272
Pennsylvania,116511.914,-15559.9603,2153,288,257,0.32862010221465077,-13.354823353086449
Rhode Island,22627.956,7285.6293000000005,199,25,25,0.02142857142857143,32.19746980239842
South Carolina,8481.71,1769.0566,172,20,19,0.0,20.85731061307213
South Dakota,1315.56,394.8283,42,5,5,0.0,30.01218492505093
Tennessee,30661.873,-5341.6936,681,91,84,0.29125683060109286,-17.42128929958062
Texas,170188.0458,-25729.3563,3724,487,370,0.3701928934010152,-15.118192455324614
Utah,11220.056,2546.5335,219,26,26,0.06037735849056604,22.696263726312953
Vermont,8929.369999999999,2244.9782999999998,50,6,5,0.0,25.141508303497336
Virginia,70636.72,18597.9504,893,115,107,0.0,26.329011879373788
Washington,138641.27,33402.6517,1883,256,224,0.06403162055335967,24.092863329944976
West Virginia,1209.824,185.9216,18,2,2,0.075,15.367656783135397
Wisconsin,32114.61,8401.8004,463,53,52,0.0,26.161925678063657
Wyoming,1603.136,100.196,4,1,1,0.2,6.25
