Sub-Category,Sales,Profit,Quantity,Orders,Avg_Discount,Profit Margin
Copiers,149528.03,55617.8249,234,68,0.16176470588235295,37.195584600425754
Phones,330007.054,44515.7306,3289,814,0.15455568053993252,13.489326988749761
Accessories,167380.318,41936.6357,2976,718,0.07845161290322582,25.054699501765793
Paper,78479.206,34053.5693,5178,1191,0.07489051094890511,43.391837195702514
Binders,203412.733,30221.7633,5974,1316,0.3722915298752462,14.857360625502238
Chairs,328449.103,26590.1663,2356,576,0.17017828200972449,8.095673289142763
Storage,223843.608,21278.8264,3158,777,0.07470449172576832,9.506113035847779
Appliances,107532.16100000001,18138.005400000002,1729,451,0.1665236051502146,16.86751687246386
Furnishings,91705.164,13059.1436,3563,877,0.13834900731452457,14.240357936658832
Envelopes,16476.402,6964.1767,906,249,0.08031496062992127,42.26758184220075
Art,27118.792,6527.787,3000,731,0.07487437185929649,24.071083254740845
Labels,12486.312,5546.254,1400,346,0.06868131868131869,44.41867222283089
Machines,189238.631,3384.7569,440,112,0.3060869565217391,1.788618360909618
Fasteners,3024.28,949.5182,914,215,0.08202764976958525,31.39650429193064
Supplies,46673.538,-1189.0995,647,187,0.0768421052631579,-2.5476952272184725
Bookcases,114879.9963,-3472.556,868,224,0.211140350877193,-3.0227682032054526
Tables,206965.532,-17725.4811,1241,307,0.2612852664576803,-8.564460433923848
